id,diet_type,protein,carbs,fat
,paleo,104.61,60.01,231.37
,paleo,13.91,131.15,48.71
,paleo,15.67,41.91,94.91
,paleo,103.22,54.18,123.51
,paleo,122.29,4.81,31.9
,paleo,97.52,21.4,145.98
,paleo,257.78,119.4,274.45
,paleo,316.98,3.68,246.05
,paleo,8.66,77.46,114.72
,paleo,410.45,209.84,349.93
,paleo,15.17,104.57,12.73
,paleo,39.1,51.14,65.66
,paleo,3.35,37.48,131.84
,paleo,19.39,113.88,103.46
,paleo,29.26,9.68,63.3
,paleo,42.37,280.53,224.06
,paleo,20.36,104.02,17.13
,paleo,17.1,26.49,77.37
,paleo,63.18,146.69,32.84
,paleo,405.14,202.29,455.75
,paleo,67.07,37.59,43.58
,paleo,113.5,84.51,32.34
,paleo,22.76,128.52,30.38
,paleo,120.87,99.95,62.06
,paleo,5.44,33.63,7.98
,paleo,91.7,90.28,103.95
,paleo,56.6,119.61,63.87
,paleo,238.58,46.12,164.79
,paleo,231.51,92.06,376.33
,paleo,11.35,83.85,73.27
,paleo,9.41,66.8,1
,paleo,50.47,168.54,206.65
,paleo,1.67,7.27,13.2
,paleo,51.81,70.43,65.92
,paleo,4.51,15.99,147.84
,paleo,12.42,150.94,168.87
,paleo,101.28,128.97,96.98
,paleo,91.25,3.47,53.62
,paleo,13.93,33.12,0.96
,paleo,32.88,429.73,154.5
,paleo,82.45,271.48,204.91
,paleo,2.88,5.79,218.98
,paleo,36.25,169.58,127.08
,paleo,28.05,135.94,33.77
,paleo,72.94,95.74,162.6
,paleo,21.27,131.23,47.57
,paleo,97.12,171.09,379.33
,paleo,130.68,53.89,75.11
,paleo,2.82,17.07,0.57
,paleo,11.53,43.67,9.96
,paleo,113.32,65.91,136.92
,paleo,92.06,28.05,117.08
,paleo,58.26,120.44,143.2
,paleo,21.58,35.21,66.94
,paleo,37.91,165.84,34.48
,paleo,198.76,170.02,202.56
,paleo,123.76,54.27,293.3
,paleo,9.26,42.6,176.28
,paleo,112.95,191.68,494.13
,paleo,147.55,133.02,214.67
,paleo,127.96,257.63,103.37
,paleo,113.5,84.51,32.34
,paleo,42.08,149.03,122.62
,paleo,38.14,65.53,18.64
,paleo,95.78,97.82,97.17
,paleo,173.78,134.07,268.58
,paleo,5.69,101.64,31.13
,paleo,17.38,19.31,139.44
,paleo,114.49,53.93,116.2
,paleo,55,342.7,63.1
,paleo,85.79,12.51,115.51
,paleo,92.88,31.09,92.32
,paleo,23.83,210.58,308.61
,paleo,63.65,201.73,36.63
,paleo,35.44,69.35,30.46
,paleo,7.68,30.35,36.87
,paleo,47.23,272.38,38.35
,paleo,1.87,61.46,162.33
,paleo,263.77,112.8,309.92
,paleo,44.63,111.23,150.27
,paleo,15.8,181.21,4.77
,paleo,144.26,16.24,127.63
,paleo,6.37,400.39,3.96
,paleo,22.74,68.54,127.93
,paleo,15.03,79.9,3
,paleo,251.76,38.75,139.7
,paleo,109.85,1343.97,1869.58
,paleo,98.63,65.37,65.28
,paleo,193.01,74.42,327.15
,paleo,228.68,66.4,163.41
,paleo,2.65,44.27,0.75
,paleo,310.17,22.85,129.07
,paleo,37.6,30.65,877.4
,paleo,0.1,2.12,44.59
,paleo,46.42,75.17,187.33
,paleo,33.68,195.5,155.13
,paleo,25.05,200.19,30.7
,paleo,7.67,124.25,2.88
,paleo,110.25,128.45,106.7
,paleo,26.18,74.5,62.8
,paleo,305.91,139.01,356.15
,paleo,32.46,254.97,51.28
,paleo,27.78,119.44,158.77
,paleo,29.18,38.85,17.77
,paleo,199.07,166.7,292.21
,paleo,34.18,36.49,119.11
,paleo,2.05,14.4,130.22
,paleo,117.89,113.86,57.65
,paleo,356.6,31.62,198.75
,paleo,25.73,158.9,188.95
,paleo,16.02,205.34,117.83
,paleo,102.17,18.57,49.56
,paleo,8.69,163.48,574.6
,paleo,33.89,22.3,121.33
,paleo,12.1,45.68,1.06
,paleo,22.88,56.46,107.24
,paleo,93.27,33.54,92.44
,paleo,41.82,57.75,94.29
,paleo,256.98,93.99,261.35
,paleo,91.36,208.4,50.82
,paleo,99.39,192.8,125.8
,paleo,68.82,231.05,229.81
,paleo,138.81,4.66,98.06
,paleo,11.04,422.58,237.46
,paleo,105.31,114.29,180.78
,paleo,111.82,11.58,6.85
,paleo,18.19,175,123.11
,paleo,27.68,63.22,418.12
,paleo,324.33,4.57,270.7
